Service Provider,Plan type,Plan Name,Price,Frequency,monthly Usage,Speed,Features,Image URL
Rogers,Internet,5G Home internet**,$55.00,/mo*,,100 Mbps,Powered by our 5G mobile network; ; Easy set up – just plug and play; ; 100 Mbps download speed1; ; Good for 1-3 devices; ,
Rogers,Internet,Starter,$70.00,/mo*,,100 Mbps,Powered by Ignite Home Internet; ; Supports streaming  TV and security; ; 100 Mbps download speeds1; ; Unlimited usage for up to 10 devices; ; Ignite Streaming on us!; ,
Rogers,Internet,Essentials,$90.00,/mo*,,250 Mbps,Powered by Ignite Home Internet; ; Supports streaming  TV and security; ; 100 Mbps download speeds1; ; Unlimited usage for up to 10 devices; ; Ignite Streaming on us!; ,
Rogers,Internet,Popular,$100.00,/mo*,,500 Mbpd,Powered by Ignite Home Internet; ; Supports streaming  TV and security; ; 100 Mbps download speeds1; ; Unlimited usage for up to 10 devices; ; Ignite Streaming on us!; ,
Rogers,Internet,Ultimate,$110.00,/mo*,,1 Gbps,Powered by Ignite Home Internet; ; Supports streaming  TV and security; ; 100 Mbps download speeds1; ; Unlimited usage for up to 10 devices; ; Ignite Streaming on us!; ,
Rogers,Internet,Pro,$120.00,/mo*,,2 Gbps,Powered by Ignite Home Internet; ; Streaming    gaming and 8K content; ; 2 Gbps download speeds1; ; Unlimited usage for 25+ devices; ; Ignite Streaming on us!; ,
Bell,Internet,fibe 50,$95.00,/mo*,Unlimited,50- Mbps,"Download speed up to: 50 Mbps; Upload speed up to: 10 Mbps; ly usage: Unlimited,",
Bell,Internet,Fibe 150,$115.00,/mo*,Unlimited,150- Mbps,"Download speed up to: 50 Mbps; Upload speed up to: 10 Mbps; ly usage: Unlimited,",
Bell,Internet,Fibe 500 ,$145.00,/mo*,Unlimited,500- Mbps,"Total download speed up to: 500 Mbps; Upload speed up to: 500 Mbps; ly usage: Unlimited,",
Bell,Internet,Gigabit Fibe 1.5,$165.00,/mo*,Unlimited,1- Gbps,"Total download speed up to: 1.5 Gbps; Upload speed up to: 940 Mbps; ly usage: Unlimited,",
Bell,Internet+TV,Promo 50,$39.00,/mo*,50GB,50- Mbps,",5G network access  5; SD video streaming; Unlimited Canada-wide calling & texting  6; Unlimited international texting  7,Bell Bundles",
Bell,Internet+TV,Essential  150,$65.00,/mo*,150GB,150- Mbps,"5G+ network access  5; SD video streaming*; Hotspot capabilities; Unlimited calling, texting & data in Canada ; Unlimited international texting "",Bell Bundles",
Bell,Internet+TV,Essential  175,$75.00,/mo*,175GB,175- Mbps,"5G+ network access   5 5G is available with compatible devices. Coverage is approximate; actual coverage may vary and may not include indoor coverage;,Bell Bundles",
Bell,Internet+TV,Ultimate 200,$85.00,/mo*,175GB,1-Gbps,"5G+ network access   5 5G is available with compatible devices. Coverage is approximate; actual coverage may vary and may not include indoor coverage;,Bell Bundles",
